Subject,Course Number,Section Number,Class Number,M,T,W,Th,F,Sa,Su,Departmental Approval,Max Enroll
CSE,4360,1,86579,Y,N,Y,N,N,N,N,N,35
CSE,4361,1,81060,N,Y,N,Y,N,N,N,N,45
CSE,4378,1,85297,Y,N,Y,N,N,N,N,N,15
CSE,4380,1,88253,N,Y,N,Y,N,N,N,N,45
CSE,4380,2,88254,Y,N,N,N,N,N,N,N,18
CSE,4380,3,88255,N,N,Y,N,N,N,N,N,18
CSE,4380,4,88256,N,N,N,N,Y,N,N,N,10
CSE,4391,1,81061,N,N,N,N,N,N,N,Y,20
CSE,4391,2,89608,N,Y,N,Y,N,N,N,Y,2
CSE,4391,5,89876,N,Y,N,Y,N,N,N,N,1
CSE,4392,1,88616,N,N,N,N,Y,N,N,Y,1
CSE,4392,3,89829,,,,,,,,N,1
CSE,4392,4,86153,Y,N,Y,N,N,N,N,Y,10
CSE,5191,1,81062,N,N,N,N,N,N,N,Y,50
CSE,5301,1,81063,N,Y,N,Y,N,N,N,N,50
CSE,5306,2,87030,N,Y,N,Y,N,N,N,N,40
CSE,5306,3,85426,Y,N,Y,N,Y,N,N,N,40
CSE,5306,4,85760,Y,N,Y,N,Y,N,N,N,40
CSE,5311,1,88221,N,Y,N,Y,N,N,N,N,45
CSE,5311,2,88222,N,Y,N,Y,N,N,N,N,45
CSE,5311,3,89410,Y,N,Y,N,N,N,N,N,40
CSE,5311,4,89705,N,Y,N,Y,N,N,N,N,40
CSE,5311,5,86262,,,,,,,,N,40
CSE,5321,1,85704,N,Y,N,Y,N,N,N,N,45
CSE,5321,2,89711,N,Y,N,Y,N,N,N,N,45
CSE,5322,1,81064,N,Y,N,Y,N,N,N,N,40
CSE,5324,1,81065,N,Y,N,Y,N,N,N,N,48
CSE,5325,1,89706,,,,,,,,N,40
CSE,5325,3,85350,N,Y,N,Y,N,N,N,N,35
CSE,5330,1,89408,,,,,,,,N,0
CSE,5330,2,89701,N,N,N,N,N,Y,N,N,45
CSE,5330,5,86265,N,Y,N,Y,N,N,N,N,49
CSE,5331,1,84843,N,Y,N,Y,N,N,N,N,38
CSE,5334,1,88423,N,N,N,N,Y,N,N,N,45
CSE,5334,2,86985,N,Y,N,N,N,N,N,N,40
CSE,5335,1,86832,N,Y,N,Y,N,N,N,N,40
CSE,5335,2,87155,Y,N,Y,N,N,N,N,N,45
CSE,5335,3,87156,Y,N,Y,N,N,N,N,N,45
CSE,5344,1,89409,Y,N,Y,N,N,N,N,N,40
CSE,5344,2,85276,N,Y,N,Y,N,N,N,N,23
CSE,5344,3,89712,Y,N,Y,N,N,N,N,N,40
CSE,5345,1,85277,N,Y,N,Y,N,N,N,N,40
CSE,5345,2,88223,N,N,N,Y,N,N,N,N,40
CSE,5350,1,81066,Y,N,Y,N,N,N,N,N,45
CSE,5360,1,88693,Y,N,Y,N,N,N,N,N,40
CSE,5364,1,86580,Y,N,Y,N,N,N,N,N,15
CSE,5365,1,86576,N,Y,N,Y,N,N,N,N,10
CSE,5368,1,86577,N,Y,N,Y,N,N,N,N,40
CSE,5369,2,85798,N,Y,N,Y,N,N,N,N,15
CSE,5380,1,81067,N,N,N,N,Y,N,N,N,40
CSE,5380,2,82743,N,N,N,N,N,N,N,N,40
CSE,5382,1,88263,N,N,N,N,Y,N,N,N,45
CSE,5382,2,86152,Y,N,Y,N,N,N,N,N,45
CSE,5383,1,85298,Y,N,Y,N,N,N,N,Y,5
CSE,5393,1,81068,N,N,N,N,N,N,N,Y,10
CSE,5393,2,81069,N,N,N,N,N,N,N,Y,10
CSE,5393,3,81070,N,N,N,N,N,N,N,Y,10
CSE,5393,4,81071,N,N,N,N,N,N,N,Y,10
CSE,5393,5,81072,N,N,N,N,N,N,N,Y,10
CSE,5393,6,81073,N,N,N,N,N,N,N,Y,10
CSE,5393,7,81074,N,N,N,N,N,N,N,Y,10
CSE,5393,8,81075,N,N,N,N,N,N,N,Y,10
CSE,5393,9,81076,N,N,N,N,N,N,N,Y,10
